"dgp","metric","model","iteration","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","value"
"dgp63","ate_estimate","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,-2.22567059016352
"dgp63","ate_bias","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,-0.225670590163521
"dgp63","ci_length","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,0.992284438586495
"dgp63","coverage","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,1
"dgp63","ate_estimate","bart_s-learner",1,1,75,3,0.99,NA,NA,NA,NA,-2.22634749064274
"dgp63","ate_bias","bart_s-learner",1,1,75,3,0.99,NA,NA,NA,NA,-0.226347490642738
"dgp63","ci_length","bart_s-learner",1,1,75,3,0.99,NA,NA,NA,NA,0.956233454911046
"dgp63","coverage","bart_s-learner",1,1,75,3,0.99,NA,NA,NA,NA,1
"dgp63","ate_estimate","bart_s-learner",1,1,75,10,0.75,NA,NA,NA,NA,-2.2042184558613
"dgp63","ate_bias","bart_s-learner",1,1,75,10,0.75,NA,NA,NA,NA,-0.204218455861302
"dgp63","ci_length","bart_s-learner",1,1,75,10,0.75,NA,NA,NA,NA,0.947688081625846
"dgp63","coverage","bart_s-learner",1,1,75,10,0.75,NA,NA,NA,NA,1
"dgp63","ate_estimate","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,-2.1440208103941
"dgp63","ate_bias","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,-0.144020810394096
"dgp63","ci_length","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,0.933088802999617
"dgp63","coverage","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,1
"dgp63","ate_estimate","bart_s-learner",1,2,75,3,0.99,NA,NA,NA,NA,-2.1447920249052
"dgp63","ate_bias","bart_s-learner",1,2,75,3,0.99,NA,NA,NA,NA,-0.144792024905205
"dgp63","ci_length","bart_s-learner",1,2,75,3,0.99,NA,NA,NA,NA,0.896108512513875
"dgp63","coverage","bart_s-learner",1,2,75,3,0.99,NA,NA,NA,NA,1
"dgp63","ate_estimate","bart_s-learner",1,2,75,10,0.75,NA,NA,NA,NA,-2.15282556973756
"dgp63","ate_bias","bart_s-learner",1,2,75,10,0.75,NA,NA,NA,NA,-0.152825569737555
"dgp63","ci_length","bart_s-learner",1,2,75,10,0.75,NA,NA,NA,NA,0.933267882392678
"dgp63","coverage","bart_s-learner",1,2,75,10,0.75,NA,NA,NA,NA,1
"dgp63","ate_estimate","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,-2.07493240263496
"dgp63","ate_bias","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,-0.07493240263496
