"dgp","metric","model","iteration","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","value"
"dgp60","ate_estimate","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,1.66191474834185
"dgp60","ate_bias","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,-0.0243335631943524
"dgp60","ci_length","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,0.323312219880342
"dgp60","coverage","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,1
"dgp60","ate_estimate","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,1.64781982829214
"dgp60","ate_bias","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,-0.0384284832440622
"dgp60","ci_length","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,0.319432830568837
"dgp60","coverage","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,1
"dgp60","ate_estimate","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,1.62041153566659
"dgp60","ate_bias","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,-0.0658367758696141
"dgp60","ci_length","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,0.321325750042592
"dgp60","coverage","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,1
"dgp60","ate_estimate","bart_s-learner",1,5,75,3,0.9,NA,NA,NA,NA,1.56610505375515
"dgp60","ate_bias","bart_s-learner",1,5,75,3,0.9,NA,NA,NA,NA,-0.12014325778105
"dgp60","ci_length","bart_s-learner",1,5,75,3,0.9,NA,NA,NA,NA,0.317567033091829
"dgp60","coverage","bart_s-learner",1,5,75,3,0.9,NA,NA,NA,NA,1
"dgp60","ate_estimate","bart_s-learner",1,1,100,3,0.9,NA,NA,NA,NA,1.66869336625738
"dgp60","ate_bias","bart_s-learner",1,1,100,3,0.9,NA,NA,NA,NA,-0.0175549452788208
"dgp60","ci_length","bart_s-learner",1,1,100,3,0.9,NA,NA,NA,NA,0.323848294386793
"dgp60","coverage","bart_s-learner",1,1,100,3,0.9,NA,NA,NA,NA,1
"dgp60","ate_estimate","bart_s-learner",1,2,100,3,0.9,NA,NA,NA,NA,1.64525380212298
