"model","rmse_rel","coverage","ci_rel"
"BART_ps-bart",0.0930557587305272,0.939375,0.367243458092109
"BART_ps-glm",0.0923281634048612,0.935625,0.363062086047334
"BART_s-learner",0.0912154853758344,0.933125,0.356660353881721
"BART_t-learner",0.0993498452883794,0.893125,0.36566560928003
"aipw",0.170729591454211,0.8575,0.366182878007639
"causal_forest",0.117089680946907,0.9125,0.41479203687514
