"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_t-learner","dgp30",1,200,10,0.75,0.6,0.089848141285838,0.201942891726305
"bart_t-learner","dgp30",1,200,3,0.99,0.6,0.0898999045068311,0.202434027404761
"bart_t-learner","dgp30",1,200,3,0.9,0.6,0.0901663234207154,0.20143627738286
"bart_t-learner","dgp30",1,100,3,0.9,0.65,0.0912830212638014,0.200769785009963
"bart_t-learner","dgp30",1,100,10,0.75,0.6,0.0914715518475075,0.20278846549262
"bart_t-learner","dgp30",1,100,3,0.99,0.65,0.0919176172547116,0.202319969401904
"bart_t-learner","dgp30",1,75,3,0.9,0.65,0.0929867307298166,0.202858655752823
"bart_t-learner","dgp30",1,75,10,0.75,0.65,0.0933676390731652,0.204128955035386
"bart_t-learner","dgp30",1,75,3,0.99,0.65,0.0934155370092644,0.201115312423992
"bart_t-learner","dgp30",2,75,3,0.9,0.5,0.110193608873055,0.199872580170154
"bart_t-learner","dgp30",2,75,10,0.75,0.5,0.111129547769839,0.2013888149012
"bart_t-learner","dgp30",2,75,3,0.99,0.5,0.1112039252476,0.200406171450541
"bart_t-learner","dgp30",2,100,3,0.99,0.5,0.112312455455198,0.200801733494188
"bart_t-learner","dgp30",2,100,3,0.9,0.5,0.112465319460356,0.200706973647708
"bart_t-learner","dgp30",2,100,10,0.75,0.5,0.112573555498362,0.19947126742134
"bart_t-learner","dgp30",2,200,10,0.75,0.45,0.119127402514116,0.199532475027679
"bart_t-learner","dgp30",2,200,3,0.99,0.45,0.119204683919276,0.19976437579008
"bart_t-learner","dgp30",2,200,3,0.9,0.45,0.119525665187886,0.199921078006857
"bart_t-learner","dgp30",3,75,3,0.9,0.3,0.131870041536582,0.199265492700573
"bart_t-learner","dgp30",3,75,10,0.75,0.35,0.132463098396478,0.200128100589908
"bart_t-learner","dgp30",3,75,3,0.99,0.35,0.132814842256516,0.20071870692081
"bart_t-learner","dgp30",3,100,3,0.99,0.3,0.13726942058999,0.20072053925642
"bart_t-learner","dgp30",3,100,10,0.75,0.3,0.13738838448168,0.199412160015164
"bart_t-learner","dgp30",3,100,3,0.9,0.3,0.137745253575261,0.198565062799554
"bart_t-learner","dgp30",3,200,3,0.9,0.3,0.152185511589072,0.199998990526904
"bart_t-learner","dgp30",3,200,3,0.99,0.25,0.152724304910821,0.197796233834759
"bart_t-learner","dgp30",3,200,10,0.75,0.25,0.152967937496485,0.199925019148219
"bart_t-learner","dgp30",5,75,3,0.99,0.05,0.180807795237121,0.19982036926395
"bart_t-learner","dgp30",5,75,3,0.9,0.05,0.181473194495947,0.19917609034077
"bart_t-learner","dgp30",5,75,10,0.75,0.05,0.181503322229159,0.199064526577047
"bart_t-learner","dgp30",5,100,3,0.9,0,0.191638430950286,0.199910145499713
"bart_t-learner","dgp30",5,100,10,0.75,0,0.192228218523453,0.19950830093608
"bart_t-learner","dgp30",5,100,3,0.99,0,0.192236026485402,0.199189103783262
"bart_t-learner","dgp30",5,200,3,0.99,0,0.223260994300839,0.19841181317726
"bart_t-learner","dgp30",5,200,3,0.9,0,0.223272640819112,0.198220837445328
"bart_t-learner","dgp30",5,200,10,0.75,0,0.223354831198572,0.199408624295122
