"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_s-learner","dgp60",1,75,3,0.9,0.95,0.0586688166096839,0.181909132352061
"bart_s-learner","dgp60",1,75,3,0.99,0.95,0.0589792394849723,0.180717717675583
"bart_s-learner","dgp60",1,100,10,0.75,0.95,0.0593010800837234,0.181847901281121
"bart_s-learner","dgp60",1,75,10,0.75,0.95,0.059471485029443,0.181274193860473
"bart_s-learner","dgp60",1,100,3,0.99,0.95,0.0595324552056638,0.182246767585579
"bart_s-learner","dgp60",1,100,3,0.9,0.95,0.0597396814864546,0.181840545813476
"bart_s-learner","dgp60",1,200,3,0.99,0.95,0.0600910472538385,0.183157317442864
"bart_s-learner","dgp60",1,200,10,0.75,0.95,0.0603655227954043,0.184027292742333
"bart_s-learner","dgp60",1,200,3,0.9,0.95,0.0604173650237065,0.185240732593825
"bart_s-learner","dgp60",2,75,10,0.75,0.9,0.0615497176373399,0.179878491538379
"bart_s-learner","dgp60",2,75,3,0.99,0.9,0.0617448184567306,0.179647913505461
"bart_s-learner","dgp60",2,75,3,0.9,0.9,0.0617934500832759,0.179402794235858
"bart_s-learner","dgp60",2,100,3,0.9,0.9,0.0624197504499998,0.179046231539586
"bart_s-learner","dgp60",2,100,10,0.75,0.9,0.0626953593277634,0.180059736968824
"bart_s-learner","dgp60",2,100,3,0.99,0.9,0.0627023186683231,0.179448048832981
"bart_s-learner","dgp60",2,200,3,0.99,0.9,0.0651086668414608,0.180141176982091
"bart_s-learner","dgp60",2,200,3,0.9,0.85,0.0652386753578411,0.179315401222347
"bart_s-learner","dgp60",2,200,10,0.75,0.9,0.065307058881582,0.178738038581828
"bart_s-learner","dgp60",3,75,10,0.75,0.75,0.0685844243985597,0.178897059987386
"bart_s-learner","dgp60",3,75,3,0.9,0.75,0.0687086954902674,0.178057755561297
"bart_s-learner","dgp60",3,75,3,0.99,0.75,0.0687649156441085,0.177661089330612
"bart_s-learner","dgp60",3,100,10,0.75,0.7,0.0707039309695408,0.178751246165418
"bart_s-learner","dgp60",3,100,3,0.99,0.7,0.0708181449630411,0.178159242907117
"bart_s-learner","dgp60",3,100,3,0.9,0.7,0.0708386922481634,0.17714481016949
"bart_s-learner","dgp60",3,200,10,0.75,0.7,0.0758133463059694,0.178268617628315
"bart_s-learner","dgp60",3,200,3,0.99,0.7,0.0758627449427843,0.17731769502052
"bart_s-learner","dgp60",3,200,3,0.9,0.7,0.076123876609076,0.177944876815966
"bart_s-learner","dgp60",5,75,3,0.99,0.6,0.0899260317004699,0.176344316021599
"bart_s-learner","dgp60",5,75,10,0.75,0.6,0.0899687332134308,0.176692890848637
"bart_s-learner","dgp60",5,75,3,0.9,0.6,0.0901961799850054,0.176716050734927
"bart_s-learner","dgp60",5,100,10,0.75,0.55,0.0950770694570539,0.177349885784464
"bart_s-learner","dgp60",5,100,3,0.99,0.55,0.0951206607703327,0.17587711947766
"bart_s-learner","dgp60",5,100,3,0.9,0.55,0.0951454039200516,0.176497776723124
"bart_s-learner","dgp60",5,200,3,0.9,0.4,0.108257546234535,0.175589338653943
"bart_s-learner","dgp60",5,200,3,0.99,0.4,0.108315999316536,0.176386830648781
"bart_s-learner","dgp60",5,200,10,0.75,0.35,0.108360206711902,0.175649370259923
