"model","dgp","min_node_size","sample_fraction","mtry","coverage","rmse_norm","ci_length_norm"
"causal_forest","dgp30",20,0.5,26,0.55,0.0964898518803901,0.19369234357204
"causal_forest","dgp30",10,0.5,26,0.55,0.0981052196995362,0.193614470425463
"causal_forest","dgp30",50,0.5,26,0.55,0.0986026281003746,0.193844947650389
"causal_forest","dgp30",5,0.5,26,0.55,0.099664351341879,0.193267825258296
"causal_forest","dgp30",20,0.3,26,0.3,0.129705177059259,0.18869104234881
"causal_forest","dgp30",50,0.3,26,0.25,0.130776992133154,0.189271644208296
"causal_forest","dgp30",5,0.3,26,0.25,0.132986541228567,0.189316885037036
"causal_forest","dgp30",10,0.3,26,0.3,0.133482584637364,0.189613948128734
"causal_forest","dgp30",10,0.5,13,0.15,0.14415206352529,0.182882222786775
"causal_forest","dgp30",50,0.5,13,0.15,0.144710699252806,0.182005094601428
"causal_forest","dgp30",20,0.5,13,0.15,0.146594903516579,0.182606023024981
"causal_forest","dgp30",5,0.5,13,0.1,0.146990524630204,0.183121140948901
"causal_forest","dgp30",50,0.3,13,0,0.194515820638191,0.179976872791939
"causal_forest","dgp30",10,0.3,13,0,0.195566612202649,0.179955226371991
"causal_forest","dgp30",20,0.3,13,0,0.196873944081935,0.179606468476822
"causal_forest","dgp30",5,0.3,13,0,0.198324205617458,0.179776871990309
"causal_forest","dgp30",50,0.5,9,0,0.222424367017792,0.176652695391148
"causal_forest","dgp30",5,0.5,9,0,0.223097263456493,0.177340080646949
"causal_forest","dgp30",20,0.5,9,0,0.223251332205981,0.177188677273524
"causal_forest","dgp30",10,0.5,9,0,0.22443955596444,0.176911468309238
"causal_forest","dgp30",50,0.3,9,0,0.283750748507375,0.175506376199869
"causal_forest","dgp30",20,0.3,9,0,0.28477562661533,0.174832713342127
"causal_forest","dgp30",5,0.3,9,0,0.285100395504005,0.17557108539022
"causal_forest","dgp30",10,0.3,9,0,0.285124510954685,0.175813510431493
