"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_t-learner","dgp40",5,75,3,0.99,0.9,0.0309037674519849,0.111716877737237
"bart_t-learner","dgp40",5,75,3,0.9,0.95,0.0310835235162667,0.111762236972206
"bart_t-learner","dgp40",5,100,10,0.75,0.95,0.0314009612328845,0.119266281382022
"bart_t-learner","dgp40",5,100,3,0.9,0.95,0.0315267023720261,0.120394323502504
"bart_t-learner","dgp40",5,75,10,0.75,0.95,0.0317345873393875,0.111890448831874
"bart_t-learner","dgp40",5,100,3,0.99,0.95,0.0318990799910965,0.11914313397019
"bart_t-learner","dgp40",3,200,3,0.99,0.9,0.0334997469201473,0.0912201980732505
"bart_t-learner","dgp40",3,200,3,0.9,0.9,0.0337740789764997,0.0907482494362522
"bart_t-learner","dgp40",3,200,10,0.75,0.95,0.0340657102589914,0.0966361913424337
"bart_t-learner","dgp40",1,75,10,0.75,0.85,0.0345783747449262,0.109653123860314
"bart_t-learner","dgp40",1,200,10,0.75,0.9,0.0347685673635753,0.129703811648871
"bart_t-learner","dgp40",1,75,3,0.9,0.85,0.0351409765918157,0.102733848640437
"bart_t-learner","dgp40",2,200,3,0.9,0.8,0.0353879466210762,0.0909357427629266
"bart_t-learner","dgp40",2,200,10,0.75,0.9,0.0357186436210358,0.0986473019879507
"bart_t-learner","dgp40",1,75,3,0.99,0.9,0.0357483402736671,0.103121047731265
"bart_t-learner","dgp40",2,200,3,0.99,0.8,0.0357807636078103,0.0902474277206556
"bart_t-learner","dgp40",3,100,10,0.75,0.9,0.0358673123691278,0.091000466970749
"bart_t-learner","dgp40",1,100,3,0.99,0.85,0.035892778576953,0.103021120293412
"bart_t-learner","dgp40",5,200,10,0.75,0.95,0.0359465479482211,0.141874176354621
"bart_t-learner","dgp40",3,100,3,0.99,0.85,0.0361093233750255,0.0852391691049878
"bart_t-learner","dgp40",3,100,3,0.9,0.85,0.0361803881874865,0.0864290790641468
"bart_t-learner","dgp40",1,100,3,0.9,0.8,0.0362411905200756,0.108220592640248
"bart_t-learner","dgp40",3,75,3,0.9,0.9,0.0363152435510194,0.0831402386966142
"bart_t-learner","dgp40",2,100,3,0.9,0.85,0.0363196960685135,0.0895246831412
"bart_t-learner","dgp40",2,100,10,0.75,0.9,0.0363630151423365,0.0936307388563827
"bart_t-learner","dgp40",1,100,10,0.75,0.9,0.0364291362575351,0.112902326409659
"bart_t-learner","dgp40",2,75,3,0.9,0.85,0.0364573166279183,0.0883189626656172
"bart_t-learner","dgp40",3,75,10,0.75,0.9,0.036556807165687,0.0899910914468369
"bart_t-learner","dgp40",2,100,3,0.99,0.85,0.0369098936026926,0.0877695023053443
"bart_t-learner","dgp40",1,200,3,0.9,0.85,0.0369246689672232,0.118434088725193
"bart_t-learner","dgp40",3,75,3,0.99,0.9,0.0372206106726976,0.0834237727722439
"bart_t-learner","dgp40",2,75,3,0.99,0.85,0.0372670158877709,0.0877223882937545
"bart_t-learner","dgp40",1,200,3,0.99,0.85,0.037306601837305,0.118520105632825
"bart_t-learner","dgp40",5,200,3,0.9,0.95,0.0378749505267318,0.145485292564434
"bart_t-learner","dgp40",2,75,10,0.75,0.9,0.0379419253415921,0.0924316946396187
"bart_t-learner","dgp40",5,200,3,0.99,0.95,0.0379917028688848,0.144501087694827
