"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_ps-bart","dgp60",2,75,10,0.75,0.95,0.0600752965889934,0.184362746709258
"bart_ps-bart","dgp60",2,75,3,0.99,0.95,0.0602407214795288,0.18411270742213
"bart_ps-bart","dgp60",1,75,10,0.75,0.9,0.0603372711674056,0.193464630847259
"bart_ps-bart","dgp60",2,75,3,0.9,0.95,0.0606725297139054,0.184886880651651
"bart_ps-bart","dgp60",1,75,3,0.99,0.95,0.0606992839359788,0.194518758553267
"bart_ps-bart","dgp60",2,100,10,0.75,0.95,0.0614513449413932,0.185129746547406
"bart_ps-bart","dgp60",2,100,3,0.99,0.95,0.0615359725056037,0.18521666319616
"bart_ps-bart","dgp60",2,100,3,0.9,0.9,0.061820227576925,0.185654020391038
"bart_ps-bart","dgp60",1,100,3,0.9,0.95,0.0621683147636695,0.199768723838964
"bart_ps-bart","dgp60",1,100,10,0.75,0.95,0.0631208734571413,0.20102258237907
"bart_ps-bart","dgp60",1,75,3,0.9,0.9,0.0633159878120731,0.194852298921086
"bart_ps-bart","dgp60",2,200,10,0.75,0.9,0.0633599272152452,0.186331791151397
"bart_ps-bart","dgp60",2,200,3,0.9,0.9,0.0637150649584485,0.186954956726737
"bart_ps-bart","dgp60",1,200,10,0.75,0.95,0.0637896029959192,0.209097549500097
"bart_ps-bart","dgp60",1,100,3,0.99,0.9,0.0638584556688326,0.199916750625685
"bart_ps-bart","dgp60",2,200,3,0.99,0.9,0.0641797813378692,0.18620213042677
"bart_ps-bart","dgp60",1,200,3,0.99,0.95,0.0643090260810239,0.209804895176319
"bart_ps-bart","dgp60",1,200,3,0.9,0.95,0.0648062982523518,0.208861050685838
"bart_ps-bart","dgp60",3,75,3,0.9,0.8,0.0665052038254157,0.18171093221402
"bart_ps-bart","dgp60",3,75,3,0.99,0.8,0.0666391347753965,0.18076432176677
"bart_ps-bart","dgp60",3,75,10,0.75,0.8,0.0667912936680074,0.18011428129846
"bart_ps-bart","dgp60",3,100,10,0.75,0.75,0.0684517903226186,0.179776439700569
"bart_ps-bart","dgp60",3,100,3,0.99,0.75,0.0689081968199165,0.181297037044098
"bart_ps-bart","dgp60",3,100,3,0.9,0.75,0.0692030546958407,0.181587042855749
"bart_ps-bart","dgp60",3,200,10,0.75,0.75,0.0736449124585775,0.181235048352723
"bart_ps-bart","dgp60",3,200,3,0.9,0.75,0.0737261280695061,0.180701627000207
"bart_ps-bart","dgp60",3,200,3,0.99,0.75,0.073736039120902,0.180238879662058
"bart_ps-bart","dgp60",5,75,10,0.75,0.6,0.0884622997262643,0.177810435039745
"bart_ps-bart","dgp60",5,75,3,0.9,0.6,0.08853423320749,0.178900508550783
"bart_ps-bart","dgp60",5,75,3,0.99,0.6,0.0885843864077708,0.178314564191746
"bart_ps-bart","dgp60",5,100,3,0.99,0.6,0.0929685424663678,0.178145693767529
"bart_ps-bart","dgp60",5,100,10,0.75,0.6,0.0932562115490253,0.178178383677346
"bart_ps-bart","dgp60",5,100,3,0.9,0.6,0.0933826005404743,0.177669734398097
"bart_ps-bart","dgp60",5,200,3,0.99,0.4,0.106433271806866,0.177106357577028
"bart_ps-bart","dgp60",5,200,10,0.75,0.4,0.106436260818625,0.176593822662469
"bart_ps-bart","dgp60",5,200,3,0.9,0.4,0.106847082893078,0.176788352763266
