"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_s-learner","dgp63",1,75,10,0.75,1,0.0989779149167734,0.467414088102948
"bart_s-learner","dgp63",1,75,3,0.9,1,0.100320126800394,0.468025507560549
"bart_s-learner","dgp63",1,75,3,0.99,1,0.100459581931927,0.466534760538069
"bart_s-learner","dgp63",1,100,10,0.75,1,0.103521432632653,0.472180645246308
"bart_s-learner","dgp63",1,100,3,0.99,1,0.104978670763644,0.474220719608337
"bart_s-learner","dgp63",1,100,3,0.9,1,0.104986514758323,0.476132826606974
"bart_s-learner","dgp63",1,200,3,0.99,1,0.111820612875816,0.494080080875538
"bart_s-learner","dgp63",2,75,3,0.9,0.95,0.112175899665381,0.457836750831856
"bart_s-learner","dgp63",1,200,3,0.9,1,0.112600130033342,0.488744406316782
"bart_s-learner","dgp63",1,200,10,0.75,1,0.112615006378079,0.492965167546814
"bart_s-learner","dgp63",2,75,10,0.75,0.95,0.112690816146899,0.462889200197796
"bart_s-learner","dgp63",2,75,3,0.99,0.95,0.113439568444154,0.459719183918603
"bart_s-learner","dgp63",2,100,3,0.99,0.95,0.11425097961014,0.465358034553443
"bart_s-learner","dgp63",2,100,10,0.75,0.95,0.115093261958151,0.465096507176097
"bart_s-learner","dgp63",2,100,3,0.9,0.95,0.11513382945658,0.464987160808139
"bart_s-learner","dgp63",2,200,3,0.99,0.95,0.119404597484464,0.468557398419945
"bart_s-learner","dgp63",2,200,10,0.75,0.95,0.119454665370099,0.469214132616329
"bart_s-learner","dgp63",2,200,3,0.9,0.95,0.119660062803235,0.471132614149779
"bart_s-learner","dgp63",3,75,10,0.75,0.9,0.128651139552494,0.450646922524223
"bart_s-learner","dgp63",3,75,3,0.9,0.9,0.128687470255763,0.449516450969701
"bart_s-learner","dgp63",3,75,3,0.99,0.9,0.129197516016328,0.450995193611193
"bart_s-learner","dgp63",3,100,10,0.75,0.9,0.132139232642098,0.455123264476115
"bart_s-learner","dgp63",3,100,3,0.9,0.9,0.132553041559846,0.451414157990931
"bart_s-learner","dgp63",3,100,3,0.99,0.9,0.132886836474257,0.454002904320011
"bart_s-learner","dgp63",3,200,3,0.99,0.9,0.139143911626255,0.455879572036604
"bart_s-learner","dgp63",3,200,3,0.9,0.9,0.13934017571829,0.454178405056746
"bart_s-learner","dgp63",3,200,10,0.75,0.85,0.139375166062891,0.454435641213396
"bart_s-learner","dgp63",5,75,3,0.9,0.8,0.178405030626057,0.434189336148377
"bart_s-learner","dgp63",5,75,10,0.75,0.8,0.178528714449459,0.434893357806729
"bart_s-learner","dgp63",5,75,3,0.99,0.8,0.179034452468607,0.431411774761094
"bart_s-learner","dgp63",5,100,10,0.75,0.8,0.186884031085767,0.43385812520359
"bart_s-learner","dgp63",5,100,3,0.99,0.75,0.187418524923993,0.433183164134616
"bart_s-learner","dgp63",5,100,3,0.9,0.75,0.187485008389269,0.433701911557088
"bart_s-learner","dgp63",5,200,3,0.99,0.7,0.206144541062301,0.428776673353486
"bart_s-learner","dgp63",5,200,10,0.75,0.7,0.206155643068614,0.4290842733328
"bart_s-learner","dgp63",5,200,3,0.9,0.7,0.206985715382621,0.432957911873347
