"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_ps-glm","dgp63",1,75,3,0.9,1,0.108053456814764,0.498236469033852
"bart_ps-glm","dgp63",1,75,10,0.75,1,0.108914977469176,0.498205113823043
"bart_ps-glm","dgp63",1,75,3,0.99,1,0.110565419386379,0.497054669129356
"bart_ps-glm","dgp63",1,100,3,0.9,1,0.112406487382304,0.503451219958417
"bart_ps-glm","dgp63",1,100,3,0.99,1,0.114060491604737,0.505663796474366
"bart_ps-glm","dgp63",1,100,10,0.75,1,0.11507841755542,0.506161952188476
"bart_ps-glm","dgp63",1,200,10,0.75,1,0.12036902683184,0.521042195109644
"bart_ps-glm","dgp63",2,75,3,0.9,0.95,0.120715746886248,0.486623323616422
"bart_ps-glm","dgp63",2,75,3,0.99,0.95,0.121687768020885,0.484506415049224
"bart_ps-glm","dgp63",2,75,10,0.75,0.95,0.122491512324833,0.486304413534912
"bart_ps-glm","dgp63",1,200,3,0.9,1,0.122579065489355,0.516895543719588
"bart_ps-glm","dgp63",1,200,3,0.99,1,0.122907285180529,0.517308790372098
"bart_ps-glm","dgp63",2,100,10,0.75,0.95,0.124745946771835,0.490011048156108
"bart_ps-glm","dgp63",2,100,3,0.99,0.95,0.125183674966517,0.489217306721916
"bart_ps-glm","dgp63",2,100,3,0.9,0.95,0.125506916749464,0.491228439932766
"bart_ps-glm","dgp63",2,200,10,0.75,0.95,0.128502484373915,0.493427099858934
"bart_ps-glm","dgp63",2,200,3,0.99,0.95,0.129432567045056,0.489728388205553
"bart_ps-glm","dgp63",2,200,3,0.9,0.95,0.130301726027053,0.492351724147873
"bart_ps-glm","dgp63",3,75,10,0.75,0.95,0.138874135747221,0.47573764998738
"bart_ps-glm","dgp63",3,75,3,0.9,0.9,0.139207664472296,0.474747217085583
"bart_ps-glm","dgp63",3,75,3,0.99,0.9,0.13993426779706,0.4742535351414
"bart_ps-glm","dgp63",3,100,10,0.75,0.9,0.142698913773449,0.476061646782676
"bart_ps-glm","dgp63",3,100,3,0.9,0.9,0.14328717125281,0.475915730445312
"bart_ps-glm","dgp63",3,100,3,0.99,0.9,0.143360735446162,0.478246500511961
"bart_ps-glm","dgp63",3,200,3,0.99,0.9,0.150559180177074,0.474837890175082
"bart_ps-glm","dgp63",3,200,3,0.9,0.9,0.15056330950487,0.476999211725211
"bart_ps-glm","dgp63",3,200,10,0.75,0.9,0.151138258460932,0.47497876888339
"bart_ps-glm","dgp63",5,75,3,0.99,0.75,0.191015097409214,0.454094683727409
"bart_ps-glm","dgp63",5,75,10,0.75,0.8,0.191531721733743,0.452080946791291
"bart_ps-glm","dgp63",5,75,3,0.9,0.7,0.192278407873784,0.454942661977662
"bart_ps-glm","dgp63",5,100,3,0.9,0.7,0.200085416267398,0.454442299295123
"bart_ps-glm","dgp63",5,100,3,0.99,0.7,0.200947659569382,0.454433284745775
"bart_ps-glm","dgp63",5,100,10,0.75,0.7,0.201055946616911,0.453826032483587
"bart_ps-glm","dgp63",5,200,3,0.99,0.65,0.221557637887719,0.451230025340876
"bart_ps-glm","dgp63",5,200,3,0.9,0.65,0.221932926733657,0.448782805040341
"bart_ps-glm","dgp63",5,200,10,0.75,0.7,0.222092303153318,0.449489838405391
