"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_ps-glm","dgp30",1,200,3,0.99,0.8,0.0595379238029367,0.17841716409309
"bart_ps-glm","dgp30",1,200,3,0.9,0.85,0.0601257875833062,0.179005584351451
"bart_ps-glm","dgp30",1,200,10,0.75,0.9,0.060207817212713,0.180786923374101
"bart_ps-glm","dgp30",1,100,3,0.99,0.8,0.0613257486009538,0.1787627652357
"bart_ps-glm","dgp30",1,100,10,0.75,0.85,0.0615096583537347,0.179352645834408
"bart_ps-glm","dgp30",2,200,10,0.75,0.75,0.0618399991819854,0.17977499087578
"bart_ps-glm","dgp30",2,200,3,0.9,0.85,0.0621283908835653,0.17949479017747
"bart_ps-glm","dgp30",2,100,3,0.99,0.75,0.0621867233921454,0.178929529303955
"bart_ps-glm","dgp30",1,100,3,0.9,0.75,0.06228409613862,0.178156090085103
"bart_ps-glm","dgp30",1,75,10,0.75,0.75,0.062888129667395,0.179338069622478
"bart_ps-glm","dgp30",2,100,10,0.75,0.75,0.0629455879332172,0.177728236272694
"bart_ps-glm","dgp30",1,75,3,0.9,0.8,0.0630402848458581,0.179953714166647
"bart_ps-glm","dgp30",2,100,3,0.9,0.75,0.0631990478892433,0.179565110580302
"bart_ps-glm","dgp30",2,200,3,0.99,0.85,0.0632668652259938,0.181138617550019
"bart_ps-glm","dgp30",2,75,3,0.99,0.75,0.0638101429518125,0.179810607247419
"bart_ps-glm","dgp30",1,75,3,0.99,0.8,0.0642715460824011,0.179761242555357
"bart_ps-glm","dgp30",3,200,10,0.75,0.75,0.0646801241706741,0.178520600735124
"bart_ps-glm","dgp30",2,75,3,0.9,0.75,0.0650370686249953,0.180379645839181
"bart_ps-glm","dgp30",3,200,3,0.99,0.75,0.0651784882841692,0.179454153892746
"bart_ps-glm","dgp30",3,100,3,0.99,0.75,0.0651886627714258,0.178736044665362
"bart_ps-glm","dgp30",2,75,10,0.75,0.75,0.0652682965934787,0.179123120240367
"bart_ps-glm","dgp30",3,100,10,0.75,0.75,0.0652795558694181,0.178876710554737
"bart_ps-glm","dgp30",3,75,3,0.9,0.75,0.0652941863470667,0.177831829410971
"bart_ps-glm","dgp30",3,100,3,0.9,0.75,0.0653516439509645,0.178780278835073
"bart_ps-glm","dgp30",3,75,3,0.99,0.75,0.0656594892285385,0.178032050235698
"bart_ps-glm","dgp30",3,200,3,0.9,0.75,0.0657657216180187,0.178632942388928
"bart_ps-glm","dgp30",3,75,10,0.75,0.75,0.065781702700143,0.178872242948745
"bart_ps-glm","dgp30",5,75,3,0.99,0.75,0.0694721350971713,0.178088652344233
"bart_ps-glm","dgp30",5,75,3,0.9,0.75,0.0698955036864389,0.178029614350389
"bart_ps-glm","dgp30",5,100,3,0.9,0.75,0.0699252429732635,0.178455003856026
"bart_ps-glm","dgp30",5,100,3,0.99,0.75,0.0703980768940906,0.178096806468482
"bart_ps-glm","dgp30",5,100,10,0.75,0.75,0.0704063176003777,0.178241334608771
"bart_ps-glm","dgp30",5,75,10,0.75,0.75,0.0707796993699657,0.179958080272132
"bart_ps-glm","dgp30",5,200,3,0.99,0.7,0.0740295592101579,0.178662517068117
"bart_ps-glm","dgp30",5,200,10,0.75,0.7,0.0746640297652728,0.178524193124597
"bart_ps-glm","dgp30",5,200,3,0.9,0.75,0.0753443038608288,0.178391963975935
