"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_s-learner","dgp40",5,100,3,0.99,0.95,0.0177637365625353,0.0751947040165513
"bart_s-learner","dgp40",2,100,3,0.9,0.95,0.0188255490178671,0.0775185244516245
"bart_s-learner","dgp40",5,100,3,0.9,0.95,0.0190769660532353,0.0737535862400781
"bart_s-learner","dgp40",5,200,3,0.99,0.95,0.0192611620713381,0.074967870627495
"bart_s-learner","dgp40",5,200,3,0.9,0.95,0.0193519923583588,0.075345280044347
"bart_s-learner","dgp40",2,75,3,0.9,0.95,0.0193972305480358,0.0779612129766933
"bart_s-learner","dgp40",3,200,3,0.99,0.95,0.019433938626847,0.0736563000031832
"bart_s-learner","dgp40",5,75,3,0.99,0.95,0.0194510768739184,0.0752378345156468
"bart_s-learner","dgp40",5,100,10,0.75,0.95,0.0195681981970941,0.0772474857820376
"bart_s-learner","dgp40",5,200,10,0.75,0.95,0.0195690268447188,0.0777580424944937
"bart_s-learner","dgp40",1,200,3,0.99,0.95,0.0196147197523241,0.0816604401181374
"bart_s-learner","dgp40",1,100,3,0.9,0.95,0.0197230850322541,0.0811900449703299
"bart_s-learner","dgp40",1,100,10,0.75,0.95,0.0197257705176213,0.0826993480065391
"bart_s-learner","dgp40",3,200,3,0.9,0.95,0.0198209706559998,0.0738534507082066
"bart_s-learner","dgp40",1,75,10,0.75,0.95,0.0198911351538776,0.0826989551840596
"bart_s-learner","dgp40",2,200,10,0.75,0.95,0.0201122119243154,0.0787608883005436
"bart_s-learner","dgp40",3,100,3,0.99,0.95,0.0201639673866619,0.0751348770951698
"bart_s-learner","dgp40",2,100,10,0.75,0.95,0.0201997029526768,0.0808195225783493
"bart_s-learner","dgp40",2,75,10,0.75,0.95,0.0202234111854215,0.081834409761092
"bart_s-learner","dgp40",3,100,3,0.9,0.95,0.0202417625877838,0.0746830233069423
"bart_s-learner","dgp40",5,75,10,0.75,0.95,0.0202663438505207,0.0791639560407931
"bart_s-learner","dgp40",5,75,3,0.9,0.95,0.020288758585223,0.0759650125604513
"bart_s-learner","dgp40",3,75,3,0.9,0.95,0.0203807741497923,0.076681697259389
"bart_s-learner","dgp40",3,100,10,0.75,0.95,0.0204035256747494,0.0776142912622052
"bart_s-learner","dgp40",3,75,3,0.99,0.95,0.0204233559377596,0.0768214919760418
"bart_s-learner","dgp40",2,200,3,0.99,0.95,0.0204272447113851,0.0759222169122243
"bart_s-learner","dgp40",2,200,3,0.9,0.95,0.020449233494997,0.0757052480302131
"bart_s-learner","dgp40",1,75,3,0.9,0.95,0.0204933358423701,0.0821571869455863
"bart_s-learner","dgp40",2,75,3,0.99,0.95,0.0207471765111381,0.077318761914393
"bart_s-learner","dgp40",1,100,3,0.99,0.95,0.0208040919955473,0.0789571682204011
"bart_s-learner","dgp40",3,75,10,0.75,0.95,0.0208382235250826,0.0789896775068176
"bart_s-learner","dgp40",1,200,3,0.9,0.95,0.0209989306325145,0.0806619741969537
"bart_s-learner","dgp40",2,100,3,0.99,0.9,0.0210727722473472,0.0772463011946203
"bart_s-learner","dgp40",3,200,10,0.75,0.95,0.0212259351452494,0.0773595241471485
"bart_s-learner","dgp40",1,200,10,0.75,0.95,0.0214118519140688,0.0818900901989078
"bart_s-learner","dgp40",1,75,3,0.99,0.9,0.0217082514243949,0.0810187223015602
