"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_ps-bart","dgp30",3,100,10,0.75,0.95,0.0466359747983385,0.182723796715728
"bart_ps-bart","dgp30",3,200,10,0.75,0.95,0.0466435600078979,0.183721661752331
"bart_ps-bart","dgp30",3,200,3,0.99,0.95,0.0467872620482974,0.184672620237024
"bart_ps-bart","dgp30",1,200,3,0.99,1,0.0470472681972034,0.187339219308544
"bart_ps-bart","dgp30",2,75,3,0.99,0.95,0.0471818781825427,0.186129748004809
"bart_ps-bart","dgp30",5,100,3,0.99,0.95,0.0472457866773471,0.181339465649662
"bart_ps-bart","dgp30",3,100,3,0.99,0.95,0.047279006261491,0.182257562660331
"bart_ps-bart","dgp30",3,200,3,0.9,0.95,0.0476558259350144,0.185313687757074
"bart_ps-bart","dgp30",2,200,3,0.99,0.95,0.0476885372075641,0.186496523641614
"bart_ps-bart","dgp30",3,75,10,0.75,0.95,0.0478891745943012,0.182358359598205
"bart_ps-bart","dgp30",1,200,10,0.75,0.95,0.0480516010890777,0.186644107796667
"bart_ps-bart","dgp30",2,75,3,0.9,0.95,0.0480565282110311,0.184215620630985
"bart_ps-bart","dgp30",5,75,3,0.99,0.95,0.0480957117243754,0.181235170987362
"bart_ps-bart","dgp30",5,75,10,0.75,0.95,0.048327741170809,0.181672725358895
"bart_ps-bart","dgp30",2,75,10,0.75,0.95,0.0484587180195846,0.184053019433951
"bart_ps-bart","dgp30",1,100,3,0.99,0.95,0.0484925988480952,0.184504093133117
"bart_ps-bart","dgp30",5,100,10,0.75,0.95,0.0485605970908857,0.180663042925811
"bart_ps-bart","dgp30",5,75,3,0.9,0.95,0.048598613068485,0.182011953376619
"bart_ps-bart","dgp30",1,200,3,0.9,0.95,0.0486118951019658,0.18702344211894
"bart_ps-bart","dgp30",2,200,3,0.9,0.95,0.0486475202545272,0.186166044821309
"bart_ps-bart","dgp30",1,75,3,0.9,0.95,0.0489911848374385,0.18381917516757
"bart_ps-bart","dgp30",3,100,3,0.9,0.95,0.0490305127194108,0.183826802905434
"bart_ps-bart","dgp30",2,200,10,0.75,0.95,0.049123474032213,0.187311131447879
"bart_ps-bart","dgp30",5,100,3,0.9,0.95,0.049192244658295,0.181202574338805
"bart_ps-bart","dgp30",2,100,3,0.9,0.95,0.0492080515306574,0.18528641559566
"bart_ps-bart","dgp30",1,100,10,0.75,0.95,0.0492629043566793,0.182979277964489
"bart_ps-bart","dgp30",3,75,3,0.9,0.95,0.0493993493663675,0.184312582826563
"bart_ps-bart","dgp30",5,200,10,0.75,0.95,0.0494366284511441,0.18226052020188
"bart_ps-bart","dgp30",1,75,3,0.99,0.95,0.0494858670858989,0.185367990558535
"bart_ps-bart","dgp30",2,100,3,0.99,0.95,0.0495600662897366,0.186727519569907
"bart_ps-bart","dgp30",5,200,3,0.9,0.95,0.0496062645529311,0.182545871136127
"bart_ps-bart","dgp30",1,75,10,0.75,0.95,0.0497021017789446,0.185451825346973
"bart_ps-bart","dgp30",5,200,3,0.99,0.95,0.049809001624077,0.182523330278602
"bart_ps-bart","dgp30",1,100,3,0.9,0.95,0.0500966061757398,0.185815471338715
"bart_ps-bart","dgp30",3,75,3,0.99,0.95,0.050223176173918,0.18509267485465
"bart_ps-bart","dgp30",2,100,10,0.75,0.95,0.0503469283181047,0.184857586259412
