"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel","type"
"dgp40","AIPW",NA,NA,NA,NA,NA,NA,NA,"bart",0.0369394636499338,0.9,0.115219239548867,"tuned"
"dgp40","BART_ps-bart",NA,NA,NA,NA,NA,NA,NA,NA,0.0206734658741598,0.95,0.0792979891452882,"default"
"dgp40","BART_ps-glm",NA,NA,NA,NA,NA,NA,NA,NA,0.0210948813900183,0.95,0.0782510800775679,"default"
"dgp40","BART_s-learner",NA,NA,NA,NA,NA,NA,NA,NA,0.0208736579765416,0.95,0.078110333274755,"default"
"dgp40","BART_t-learner",NA,NA,NA,NA,NA,NA,NA,NA,0.0372088911140517,0.85,0.086778126074619,"default"
"dgp40","aipw",NA,NA,NA,NA,NA,NA,NA,NA,0.0428876043795391,0.8,0.126021895482395,"default"
"dgp40","bart_ps-bart",5,200,10,0.75,NA,NA,NA,NA,0.0191934951243278,0.95,0.0799925995343681,"tuned"
"dgp40","bart_ps-glm",5,100,3,0.99,NA,NA,NA,NA,0.0186075857786975,0.95,0.0755334574339035,"tuned"
"dgp40","bart_s-learner",5,100,3,0.99,NA,NA,NA,NA,0.0177637365625353,0.95,0.0751947040165513,"tuned"
"dgp40","bart_t-learner",5,75,3,0.99,NA,NA,NA,NA,0.0309037674519849,0.9,0.111716877737237,"tuned"
"dgp40","causal_forest",NA,NA,NA,NA,5,0.5,22,NA,0.0548396632687518,1,0.227799990555569,"default"
"dgp40","causal_forest",NA,NA,NA,NA,5,0.5,22,NA,0.0548396632687518,1,0.227799990555569,"tuned"
