"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel","type"
"dgp60","AIPW",NA,NA,NA,NA,NA,NA,NA,"bart",0.0537647644316039,0.95,0.16046477441726,"tuned"
"dgp60","BART_ps-bart",NA,NA,NA,NA,NA,NA,NA,NA,0.060501986045164,0.9,0.180899159835487,"default"
"dgp60","BART_ps-glm",NA,NA,NA,NA,NA,NA,NA,NA,0.0611461033108207,0.9,0.180921212082125,"default"
"dgp60","BART_s-learner",NA,NA,NA,NA,NA,NA,NA,NA,0.061647957035356,0.9,0.18008238398038,"default"
"dgp60","BART_t-learner",NA,NA,NA,NA,NA,NA,NA,NA,0.0525128031876506,0.9,0.176753980556788,"default"
"dgp60","aipw",NA,NA,NA,NA,NA,NA,NA,NA,0.0542641023331165,0.95,0.181056573537845,"default"
"dgp60","bart_ps-bart",2,75,10,0.75,NA,NA,NA,NA,0.0600752965889934,0.95,0.184362746709258,"tuned"
"dgp60","bart_ps-glm",1,75,3,0.9,NA,NA,NA,NA,0.0582816198076836,0.95,0.181817202727332,"tuned"
"dgp60","bart_s-learner",1,75,3,0.9,NA,NA,NA,NA,0.0586688166096839,0.95,0.181909132352061,"tuned"
"dgp60","bart_t-learner",1,75,3,0.99,NA,NA,NA,NA,0.0521969917447242,0.95,0.181365030655374,"tuned"
"dgp60","causal_forest",NA,NA,NA,NA,5,0.5,26,NA,0.0651436493695666,0.85,0.179558524370547,"default"
"dgp60","causal_forest",NA,NA,NA,NA,5,0.5,11,NA,0.0604853662822835,0.85,0.180316156058792,"tuned"
