"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel","type"
"dgp30","AIPW",NA,NA,NA,NA,NA,NA,NA,"bart",0.348917599003567,0,0.251723705993621,"tuned"
"dgp30","BART_ps-bart",NA,NA,NA,NA,NA,NA,NA,NA,0.0479200909676459,0.95,0.183795156170271,"default"
"dgp30","BART_ps-glm",NA,NA,NA,NA,NA,NA,NA,NA,0.0635192941296792,0.75,0.179895185465279,"default"
"dgp30","BART_s-learner",NA,NA,NA,NA,NA,NA,NA,NA,0.0649438676786062,0.75,0.177724829164495,"default"
"dgp30","BART_t-learner",NA,NA,NA,NA,NA,NA,NA,NA,0.110798852566626,0.5,0.199327023721627,"default"
"dgp30","aipw",NA,NA,NA,NA,NA,NA,NA,NA,1.19069573294246,0,0.225330594786094,"default"
"dgp30","bart_ps-bart",3,100,10,0.75,NA,NA,NA,NA,0.0466359747983385,0.95,0.182723796715728,"tuned"
"dgp30","bart_ps-glm",1,200,3,0.99,NA,NA,NA,NA,0.0595379238029367,0.8,0.17841716409309,"tuned"
"dgp30","bart_s-learner",1,200,10,0.75,NA,NA,NA,NA,0.0594798092301766,0.85,0.178515215018467,"tuned"
"dgp30","bart_t-learner",1,200,10,0.75,NA,NA,NA,NA,0.089848141285838,0.6,0.201942891726305,"tuned"
"dgp30","causal_forest",NA,NA,NA,NA,5,0.5,26,NA,0.0991820427985548,0.5,0.193942428472413,"default"
"dgp30","causal_forest",NA,NA,NA,NA,20,0.5,26,NA,0.0964898518803901,0.55,0.19369234357204,"tuned"
