"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel"
"dgp30","AIPW",NA,NA,NA,NA,NA,NA,NA,"bart",0.348917599003567,0,0.251723705993621
"dgp30","bart_ps-bart",1,75,3,0.9,NA,NA,NA,NA,0.0489911848374385,0.95,0.18381917516757
"dgp30","bart_ps-bart",1,75,3,0.99,NA,NA,NA,NA,0.0494858670858989,0.95,0.185367990558535
"dgp30","bart_ps-bart",1,75,10,0.75,NA,NA,NA,NA,0.0497021017789446,0.95,0.185451825346973
"dgp30","bart_ps-bart",1,100,3,0.9,NA,NA,NA,NA,0.0500966061757398,0.95,0.185815471338715
"dgp30","bart_ps-bart",1,100,3,0.99,NA,NA,NA,NA,0.0484925988480952,0.95,0.184504093133117
"dgp30","bart_ps-bart",1,100,10,0.75,NA,NA,NA,NA,0.0492629043566793,0.95,0.182979277964489
"dgp30","bart_ps-bart",1,200,3,0.9,NA,NA,NA,NA,0.0486118951019658,0.95,0.18702344211894
"dgp30","bart_ps-bart",1,200,3,0.99,NA,NA,NA,NA,0.0470472681972034,1,0.187339219308544
"dgp30","bart_ps-bart",1,200,10,0.75,NA,NA,NA,NA,0.0480516010890777,0.95,0.186644107796667
"dgp30","bart_ps-bart",2,75,3,0.9,NA,NA,NA,NA,0.0480565282110311,0.95,0.184215620630985
"dgp30","bart_ps-bart",2,75,3,0.99,NA,NA,NA,NA,0.0471818781825427,0.95,0.186129748004809
"dgp30","bart_ps-bart",2,75,10,0.75,NA,NA,NA,NA,0.0484587180195846,0.95,0.184053019433951
"dgp30","bart_ps-bart",2,100,3,0.9,NA,NA,NA,NA,0.0492080515306574,0.95,0.18528641559566
"dgp30","bart_ps-bart",2,100,3,0.99,NA,NA,NA,NA,0.0495600662897366,0.95,0.186727519569907
"dgp30","bart_ps-bart",2,100,10,0.75,NA,NA,NA,NA,0.0503469283181047,0.95,0.184857586259412
"dgp30","bart_ps-bart",2,200,3,0.9,NA,NA,NA,NA,0.0486475202545272,0.95,0.186166044821309
"dgp30","bart_ps-bart",2,200,3,0.99,NA,NA,NA,NA,0.0476885372075641,0.95,0.186496523641614
"dgp30","bart_ps-bart",2,200,10,0.75,NA,NA,NA,NA,0.049123474032213,0.95,0.187311131447879
"dgp30","bart_ps-bart",3,75,3,0.9,NA,NA,NA,NA,0.0493993493663675,0.95,0.184312582826563
"dgp30","bart_ps-bart",3,75,3,0.99,NA,NA,NA,NA,0.050223176173918,0.95,0.18509267485465
"dgp30","bart_ps-bart",3,75,10,0.75,NA,NA,NA,NA,0.0478891745943012,0.95,0.182358359598205
"dgp30","bart_ps-bart",3,100,3,0.9,NA,NA,NA,NA,0.0490305127194108,0.95,0.183826802905434
