"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel"
"dgp60","bart_ps-glm",2,200,10,0.75,NA,NA,NA,NA,0.0642304869209304,0.9,0.180532919474772
"dgp60","bart_ps-glm",3,75,3,0.9,NA,NA,NA,NA,0.0679051847926296,0.75,0.178334960876529
"dgp60","bart_ps-glm",3,75,3,0.99,NA,NA,NA,NA,0.0679144116845514,0.75,0.178715997311876
"dgp60","bart_ps-glm",3,75,10,0.75,NA,NA,NA,NA,0.0679423501966499,0.75,0.178147048640528
"dgp60","bart_ps-glm",3,100,3,0.9,NA,NA,NA,NA,0.0697766425077249,0.7,0.1786962123839
"dgp60","bart_ps-glm",3,100,3,0.99,NA,NA,NA,NA,0.0699231696896052,0.7,0.179242903267742
"dgp60","bart_ps-glm",3,100,10,0.75,NA,NA,NA,NA,0.0695547762686888,0.75,0.178887591726025
"dgp60","bart_ps-glm",3,200,3,0.9,NA,NA,NA,NA,0.0745574449954775,0.7,0.178416408975473
"dgp60","bart_ps-glm",3,200,3,0.99,NA,NA,NA,NA,0.0748854105978212,0.7,0.178400590194168
"dgp60","bart_ps-glm",3,200,10,0.75,NA,NA,NA,NA,0.0746774773202936,0.7,0.178334287372305
"dgp60","bart_ps-glm",5,75,3,0.9,NA,NA,NA,NA,0.0886058501820931,0.6,0.177215421923302
"dgp60","bart_ps-glm",5,75,3,0.99,NA,NA,NA,NA,0.0887382808113861,0.6,0.17646450471811
"dgp60","bart_ps-glm",5,75,10,0.75,NA,NA,NA,NA,0.0890232437868628,0.6,0.17749201276759
"dgp60","bart_ps-glm",5,100,3,0.9,NA,NA,NA,NA,0.0937315111862801,0.55,0.177132336487824
"dgp60","bart_ps-glm",5,100,3,0.99,NA,NA,NA,NA,0.0935932041604092,0.6,0.176921907193096
"dgp60","bart_ps-glm",5,100,10,0.75,NA,NA,NA,NA,0.0940133679016797,0.55,0.176393274884101
"dgp60","bart_ps-glm",5,200,3,0.9,NA,NA,NA,NA,0.106680658458327,0.4,0.177031823585452
"dgp60","bart_ps-glm",5,200,3,0.99,NA,NA,NA,NA,0.106586752613,0.4,0.176774820879463
"dgp60","bart_ps-glm",5,200,10,0.75,NA,NA,NA,NA,0.106705162409009,0.4,0.176479315214238
"dgp60","bart_s-learner",1,75,3,0.9,NA,NA,NA,NA,0.0586688166096839,0.95,0.181909132352061
"dgp60","bart_s-learner",1,75,3,0.99,NA,NA,NA,NA,0.0589792394849723,0.95,0.180717717675583
"dgp60","bart_s-learner",1,75,10,0.75,NA,NA,NA,NA,0.059471485029443,0.95,0.181274193860473
"dgp60","bart_s-learner",1,100,3,0.9,NA,NA,NA,NA,0.0597396814864546,0.95,0.181840545813476
"dgp60","bart_s-learner",1,100,3,0.99,NA,NA,NA,NA,0.0595324552056638,0.95,0.182246767585579
"dgp60","bart_s-learner",1,100,10,0.75,NA,NA,NA,NA,0.0593010800837234,0.95,0.181847901281121
"dgp60","bart_s-learner",1,200,3,0.9,NA,NA,NA,NA,0.0604173650237065,0.95,0.185240732593825
