"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel"
"dgp63","AIPW",NA,NA,NA,NA,NA,NA,NA,"bart",0.112327941765921,0.85,0.345697168049714
"dgp63","bart_ps-bart",1,75,3,0.9,NA,NA,NA,NA,0.123106591994042,0.95,0.529278511597163
"dgp63","bart_ps-bart",1,75,3,0.99,NA,NA,NA,NA,0.117448340662172,1,0.525272918391947
"dgp63","bart_ps-bart",1,75,10,0.75,NA,NA,NA,NA,0.119961649199683,1,0.523033876947441
"dgp63","bart_ps-bart",1,100,3,0.9,NA,NA,NA,NA,0.126277160438821,1,0.540027039508885
"dgp63","bart_ps-bart",1,100,3,0.99,NA,NA,NA,NA,0.129689494092409,0.95,0.537761442369181
"dgp63","bart_ps-bart",1,100,10,0.75,NA,NA,NA,NA,0.12240103305401,0.95,0.53861100212869
"dgp63","bart_ps-bart",1,200,3,0.9,NA,NA,NA,NA,0.138389246608569,0.95,0.559538129953305
"dgp63","bart_ps-bart",1,200,3,0.99,NA,NA,NA,NA,0.136420040368433,0.95,0.561205418998505
"dgp63","bart_ps-bart",1,200,10,0.75,NA,NA,NA,NA,0.139810394084713,0.95,0.562356139083064
"dgp63","bart_ps-bart",2,75,3,0.9,NA,NA,NA,NA,0.127475031561772,0.95,0.496641906717857
"dgp63","bart_ps-bart",2,75,3,0.99,NA,NA,NA,NA,0.125992770456115,0.95,0.498350230574569
"dgp63","bart_ps-bart",2,75,10,0.75,NA,NA,NA,NA,0.125086531062228,0.95,0.495043229059114
"dgp63","bart_ps-bart",2,100,3,0.9,NA,NA,NA,NA,0.129537698105358,0.95,0.499811620642472
"dgp63","bart_ps-bart",2,100,3,0.99,NA,NA,NA,NA,0.129458593626477,0.95,0.497351049164344
"dgp63","bart_ps-bart",2,100,10,0.75,NA,NA,NA,NA,0.12951454340368,0.95,0.499091115628813
"dgp63","bart_ps-bart",2,200,3,0.9,NA,NA,NA,NA,0.131598117712423,0.95,0.502288579893069
"dgp63","bart_ps-bart",2,200,3,0.99,NA,NA,NA,NA,0.132544753199102,0.95,0.500109386376531
"dgp63","bart_ps-bart",2,200,10,0.75,NA,NA,NA,NA,0.132524559153535,0.95,0.501070453740355
"dgp63","bart_ps-bart",3,75,3,0.9,NA,NA,NA,NA,0.141469945453476,0.9,0.47521814234735
"dgp63","bart_ps-bart",3,75,3,0.99,NA,NA,NA,NA,0.141562142522515,0.9,0.47675347763582
"dgp63","bart_ps-bart",3,75,10,0.75,NA,NA,NA,NA,0.140334265316003,0.9,0.477479982982556
"dgp63","bart_ps-bart",3,100,3,0.9,NA,NA,NA,NA,0.145199800695613,0.9,0.477828205284938
"dgp63","bart_ps-bart",3,100,3,0.99,NA,NA,NA,NA,0.145976313014093,0.9,0.475123326120736
"dgp63","bart_ps-bart",3,100,10,0.75,NA,NA,NA,NA,0.145588435049675,0.9,0.479392204855778
"dgp63","bart_ps-bart",3,200,3,0.9,NA,NA,NA,NA,0.151990520083092,0.9,0.475670908421747
"dgp63","bart_ps-bart",3,200,3,0.99,NA,NA,NA,NA,0.151276309250994,0.9,0.475738884169894
"dgp63","bart_ps-bart",3,200,10,0.75,NA,NA,NA,NA,0.151812651103577,0.9,0.477851984536838
"dgp63","bart_ps-bart",5,75,3,0.9,NA,NA,NA,NA,0.19074828594107,0.7,0.4507121055716
"dgp63","bart_ps-bart",5,75,3,0.99,NA,NA,NA,NA,0.19043403903096,0.7,0.451847793395054
"dgp63","bart_ps-bart",5,75,10,0.75,NA,NA,NA,NA,0.191306148689777,0.7,0.452112060665121
"dgp63","bart_ps-bart",5,100,3,0.9,NA,NA,NA,NA,0.199309744120748,0.7,0.451288078293958
"dgp63","bart_ps-bart",5,100,3,0.99,NA,NA,NA,NA,0.199694546511974,0.7,0.447972130446544
